repository	commit	date	subject	subsystem	disposition	relevance reason
nodejs/node	4d396ac9c6fcf902d21b015d885a12092e3d54f4	2025-10-14T02:03:28+01:00	deps: update googletest to 279f847	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e3a3733e1f177005684f3ae52d1d576d22af9633	2025-10-14T08:46:20+02:00	src: stop using deprecated v8::Context::GetIsolate	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e6aaa98eb059a9bd0d7432bbebb1c3753ed89379	2025-10-14T08:46:29+02:00	doc: fix not working code example in vm docs	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	1072295d26e31c0fb6983a0c6381af1f13e3a38f	2025-10-14T16:06:15+09:00	inspector: support handshake response for websocket inspection	node-inspector	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	0c35aaf55f489abb55c9990d0bbeacdf4b2b0e62	2025-10-14T09:17:53-03:00	http: add optimizeEmptyRequests server option	node-http	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	170848bc1831ea9be665b527e2131c81263dfd2c	2025-10-14T18:28:22+02:00	module: handle null source from async loader hooks in sync hooks	node-module	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	daf0a44669992ea2dff7f4a5b14e6f9088ce4399	2025-10-15T14:25:42+08:00	inspector: add network payload buffer size limits	buffer-memory	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	7c7f30ed17654f29293f586ad009f0f8340213d4	2025-09-16T18:28:29+02:00	deps: V8: cherry-pick 3d0f462a17ff	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	8973cc451602e4eecb019d6a8b87d07f5e6e3035	2025-10-10T17:42:05+02:00	benchmark: add vm.SourceTextModule benchmark	node-benchmark	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	657428ab52f630b83e210957a4bd9c015d9b952b	2025-08-07T17:48:32+02:00	esm: use index-based resolution callbacks	node-esm	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
